x,y,z
-7.732051086425781250e+01,4.745070266723632812e+01,3.095122054219245911e-02
-7.732051086425781250e+01,4.755104827880859375e+01,3.906274586915969849e-02
-7.732051086425781250e+01,4.765139389038085938e+01,4.810342565178871155e-02
-7.732051086425781250e+01,4.775173950195312500e+01,5.806751176714897156e-02
-7.732051086425781250e+01,4.785208511352539062e+01,6.894866377115249634e-02
-7.732051086425781250e+01,4.795243453979492188e+01,8.073996752500534058e-02
-7.732051086425781250e+01,4.805278015136718750e+01,9.343392401933670044e-02
-7.732051086425781250e+01,4.815312576293945312e+01,1.070224493741989136e-01
-7.732051086425781250e+01,4.825347137451171875e+01,1.214969158172607422e-01
-7.732051086425781250e+01,4.835381698608398438e+01,1.368481069803237915e-01
-7.732051086425781250e+01,4.845416259765625000e+01,1.530662626028060913e-01
-7.732051086425781250e+01,4.855450820922851562e+01,1.701410561800003052e-01
-7.732051086425781250e+01,4.865485382080078125e+01,1.880616545677185059e-01
-7.732051086425781250e+01,4.875519943237304688e+01,2.068166434764862061e-01
-7.732051086425781250e+01,4.885554504394531250e+01,2.263940870761871338e-01
-7.732051086425781250e+01,4.895589447021484375e+01,2.467815577983856201e-01
-7.732051086425781250e+01,4.905624008178710938e+01,2.679660618305206299e-01
-7.732051086425781250e+01,4.915658569335937500e+01,2.899341583251953125e-01
-7.732051086425781250e+01,4.925693130493164062e+01,3.126718401908874512e-01
-7.732051086425781250e+01,4.935727691650390625e+01,3.361646533012390137e-01
-7.732051086425781250e+01,4.945762252807617188e+01,3.603976964950561523e-01
-7.732051086425781250e+01,4.955796813964843750e+01,3.853555023670196533e-01
-7.732051086425781250e+01,4.965831375122070312e+01,4.110222160816192627e-01
-7.732051086425781250e+01,4.975865936279296875e+01,4.373815357685089111e-01
-7.732051086425781250e+01,4.985900878906250000e+01,4.644166827201843262e-01
-7.732051086425781250e+01,4.995935440063476562e+01,4.921104609966278076e-01
-7.732051086425781250e+01,5.005970001220703125e+01,5.204452276229858398e-01
-7.732051086425781250e+01,5.016004562377929688e+01,5.494030117988586426e-01
-7.732051086425781250e+01,5.026039123535156250e+01,5.789654254913330078e-01
-7.732051086425781250e+01,5.036073684692382812e+01,6.091135144233703613e-01
-7.732051086425781250e+01,5.046108245849609375e+01,6.398282647132873535e-01
-7.732051086425781250e+01,5.056142807006835938e+01,6.710901260375976562e-01
-7.732051086425781250e+01,5.066177368164062500e+01,7.028791308403015137e-01
-7.732051086425781250e+01,5.076212310791015625e+01,7.351750731468200684e-01
-7.732051086425781250e+01,5.086246871948242188e+01,7.679575085639953613e-01
-7.732051086425781250e+01,5.096281433105468750e+01,8.012054562568664551e-01
-7.732051086425781250e+01,5.106315994262695312e+01,8.348978757858276367e-01
-7.732051086425781250e+01,5.116350555419921875e+01,8.690133094787597656e-01
-7.732051086425781250e+01,5.126385116577148438e+01,9.035300016403198242e-01
-7.732051086425781250e+01,5.136419677734375000e+01,9.384260773658752441e-01
-7.732051086425781250e+01,5.146454238891601562e+01,9.736793041229248047e-01
-7.732051086425781250e+01,5.156488800048828125e+01,1.009267330169677734e+00
-7.732051086425781250e+01,5.166523742675781250e+01,1.045167446136474609e+00
-7.732051086425781250e+01,5.176558303833007812e+01,1.081356763839721680e+00
-7.732051086425781250e+01,5.186592864990234375e+01,1.117812395095825195e+00
-7.732051086425781250e+01,5.196627426147460938e+01,1.154511094093322754e+00
-7.732051086425781250e+01,5.206661987304687500e+01,1.191429495811462402e+00
-7.732051086425781250e+01,5.216696548461914062e+01,1.228544116020202637e+00
-7.732051086425781250e+01,5.226731109619140625e+01,1.265831470489501953e+00
-7.732051086425781250e+01,5.236765670776367188e+01,1.303267717361450195e+00
-7.732051086425781250e+01,5.246800231933593750e+01,1.340829133987426758e+00
-7.732051086425781250e+01,5.256835174560546875e+01,1.378491640090942383e+00
-7.732051086425781250e+01,5.266869354248046875e+01,1.416231513023376465e+00
-7.732051086425781250e+01,5.276904296875000000e+01,1.454024672508239746e+00
-7.732051086425781250e+01,5.286938858032226562e+01,1.491847157478332520e+00
-7.732051086425781250e+01,5.296973419189453125e+01,1.529674649238586426e+00
-7.732051086425781250e+01,5.307007980346679688e+01,1.567483425140380859e+00
-7.732051086425781250e+01,5.317042541503906250e+01,1.605249166488647461e+00
